"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2015-10-04","82.6","-1.0824","5.7396","Jacob deGrom",543685,594798,"null","called_strike",,,,,"14","null","R","R","R","NYM","WSH","S","null","null",0,1,2015,"0.02586666666666666667","-0.01070000000000000000","0.8370","2.1360","null","null","null",1,3,"Top","null","null",,,518595,,"151004_155138","3.7180","-120.1920","-1.4200","1.6460","21.3860","-34.2680","3.5000","1.5300","null","null","null","82.6700","2375","6.3900",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"54.1097","null","null","null","null","null","null","null",17,"2","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2015-10-04","89.1","-0.9613","5.6950","Jacob deGrom",543685,594798,"null","called_strike",,,,,"2","null","R","R","R","NYM","WSH","S","null","null",0,0,2015,"-0.10634166666666666667","0.76186666666666666667","0.2030","3.2680","null","null","null",1,3,"Top","null","null",,,518595,,"151004_155127","2.5690","-129.7900","-1.2980","0.2980","26.4990","-25.3880","3.4400","1.5300","null","null","null","89.6140","2287","6.7070",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.7935","null","null","null","null","null","null","null",17,"1","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"FT","2015-10-04","92.9","-0.8924","5.6066","Jacob deGrom",543699,594798,"strikeout","swinging_strike",,,,,"11","Tanner Roark strikes out swinging.","R","R","R","NYM","WSH","S",2,"null",2,2,2015,"-1.4604333333333333","1.4699333333333333","-0.2400","3.8320","null","null","null",0,3,"Top","null","null",,,518595,,"151004_155050","4.6440","-135.2730","-1.7890","-17.5590","31.9780","-15.8370","3.5300","1.6500","null","null","null","93.4380","2028","6.9930",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.5069","null","null","0.00",1,0,0,"null",16,"6","2-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"FF","2015-10-04","94.3","-0.9127","5.5550","Jacob deGrom",543699,594798,"null","foul",,,,,"3","null","R","R","R","NYM","WSH","S","null","null",2,2,2015,"-0.72563333333333333333","1.6820666666666667","0.5420","3.2220","null","null","null",0,3,"Top","null","null",,,518595,,"151004_155031","4.9710","-137.1910","-4.0660","-8.0520","33.7400","-12.6250","3.5300","1.6500","null","null","null","94.7230","2234","7.0590",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.4414","null","null","null","null","null","null","null",16,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"FF","2015-10-04","94.6","-0.8326","5.6643","Jacob deGrom",543699,594798,"null","ball",,,,,"12","null","R","R","R","NYM","WSH","B","null","null",1,2,2015,"-0.61986666666666666667","1.8196666666666667","1.1150","2.8310","null","null","null",0,3,"Top","null","null",,,518595,,"151004_155016","5.8500","-137.5580","-5.3280","-6.6740","33.3900","-10.6660","3.5500","1.6500","null","null","null","95.0660","2334","7.0020",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.4984","null","null","null","null","null","null","null",16,"4","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"FF","2015-10-04","93.4","-0.8991","5.5056","Jacob deGrom",543699,594798,"null","foul",,,,,"3","null","R","R","R","NYM","WSH","S","null","null",1,1,2015,"-0.85366666666666666667","1.3481000000000000","0.6020","3.1860","null","null","null",0,3,"Top","null","null",,,518595,,"151004_154955","5.2220","-135.9420","-3.2240","-9.6790","31.2660","-17.1920","3.5300","1.6500","null","null","null","93.9020","2179","6.9030",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.5968","null","null","null","null","null","null","null",16,"3","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"CU","2015-10-04","82.1","-0.9617","5.7944","Jacob deGrom",543699,594798,"null","ball",,,,,"14","null","R","R","R","NYM","WSH","B","null","null",0,1,2015,"0.27080000000000000000","-0.10530000000000000000","1.2420","1.0840","null","null","null",0,3,"Top","null","null",,,518595,,"151004_154943","3.9010","-119.3610","-3.3520","4.1480","23.5230","-35.1700","3.4400","1.6400","null","null","null","81.8510","null","6.4050",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"54.0945","null","null","null","null","null","null","null",16,"2","Curveball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"FF","2015-10-04","93.8","-0.8781","5.6344","Jacob deGrom",543699,594798,"null","called_strike",,,,,"9","null","R","R","R","NYM","WSH","S","null","null",0,0,2015,"-0.56976666666666666667","1.3925333333333333","0.4150","2.0380","null","null","null",0,3,"Top","null","null",,,518595,,"151004_154929","4.1150","-136.3740","-6.1190","-5.9000","32.6560","-16.5750","3.5200","1.5800","null","null","null","93.8860","2234","6.8290",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.6714","null","null","null","null","null","null","null",16,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Standard"
"CU","2015-10-04","82.7","-1.1427","5.6259","Jacob deGrom",600474,594798,"field_out","hit_into_play",,,,,"8","Pedro Severino lines out to third baseman David Wright.","R","R","R","NYM","WSH","X",5,"line_drive",2,2,2015,"0.57140000000000000000","-0.20133333333333333333","0.0530","1.6600","null","435622.00","572191.00",2,2,"Top","108.73","169.74",,,518595,,"151004_153809","1.0580","-120.4590","-1.7800","7.2550","27.7050","-36.1280","3.3600","1.4400","117","83.7","7.2910","82.3390","2488","6.5720",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.9283","0.469","0.468","0.00",1,0,0,4,12,"5","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2015-10-04","84.6","-1.1082","5.5094","Jacob deGrom",600474,594798,"null","ball",,,,,"14","null","R","R","R","NYM","WSH","B","null","null",1,2,2015,"0.60340833333333333333","-0.34180000000000000000","0.4120","1.3130","null","435622.00","572191.00",2,2,"Top","null","null",,,518595,,"151004_153745","1.5470","-123.2310","-2.5080","8.0020","27.4580","-37.8430","3.3600","1.4400","null","null","null","84.6390","null","6.6910",416079,594798,518595,446263,502517,431151,514913,624424,493316,434158,"53.8093","null","null","null","null","null","null","null",12,"4","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
