"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2017-09-24","94.5","-0.8189","5.3834","Jacob deGrom",607208,594798,"strikeout","swinging_strike",,,,,"12","Trea Turner strikes out swinging.  ","R","R","R","NYM","WSH","S",2,"null",2,2,2017,"-0.5493","1.4126","0.8352","2.3891","null","null","446653.00",1,5,"Top","null","null",,,518595,,"170924_182949","5.6202","-137.3817","-5.4159","-8.3018","28.1365","-12.8419","3.3020","1.4136","null","null","null","95.9160","2282","6.9780",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.5215","null","null","0.00",1,0,0,"null",33,"5","4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"CH","2017-09-24","87.6","-0.9352","5.2049","Jacob deGrom","null",594798,"null","ball",,,,,"14","null","R","R","R","NYM","WSH","B","null","null",1,2,2017,"-1.3526","0.5270","0.9512","1.0858","null","null","446653.00",1,5,"Top","null","null",,,518595,,"170924_182923","7.5345","-127.3442","-5.0274","-16.6681","24.8587","-25.4360","3.6250","1.8094","null","null","null","89.1090","1719","7.1610",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3382","null","null","null","null","null","null","null",33,"4","Changeup",1,3,3,1,3,1,3,1,"Standard","Standard"
"FT","2017-09-24","94.3","-0.8030","5.3097","Jacob deGrom","null",594798,"null","ball",,,,,"12","null","R","R","R","NYM","WSH","B","null","null",0,2,2017,"-1.1147","1.3643","1.0273","4.0683","null","null","446653.00",1,5,"Top","null","null",,,518595,,"170924_182857","7.3841","-137.0303","-0.6295","-16.0263","29.9868","-14.5743","3.7082","1.8927","null","null","null","95.5680","2305","7.0670",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.4331","null","null","null","null","null","null","null",33,"3","2-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"FF","2017-09-24","94.5","-0.9979","5.2828","Jacob deGrom","null",594798,"null","called_strike",,,,,"14","null","R","R","R","NYM","WSH","S","null","null",0,1,2017,"-0.6380","1.3523","0.8864","1.9822","null","null","446653.00",1,5,"Top","null","null",,,518595,,"170924_182836","6.4530","-137.3470","-6.1120","-9.6609","28.0774","-13.4049","3.6558","1.8719","null","null","null","96.1310","2261","7.1100",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3897","null","null","null","null","null","null","null",33,"2","4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"FF","2017-09-24","93.2","-1.0818","5.1595","Jacob deGrom","null",594798,"null","called_strike",,,,,"6","null","R","R","R","NYM","WSH","S","null","null",0,0,2017,"-0.6072","1.1128","0.5669","2.6918","null","null","446653.00",1,5,"Top","null","null",,,518595,,"170924_182816","5.6944","-135.5615","-3.1773","-8.8938","27.1104","-17.4831","3.6142","1.8510","null","null","null","95.0200","2344","7.1710",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3286","null","null","null","null","null","null","null",33,"1","4-Seam Fastball",1,3,3,1,3,1,3,1,"Standard","Standard"
"CH","2017-09-24","85.8","-0.9777","5.1711","Jacob deGrom",453286,594798,"strikeout","called_strike",,,,,"6","Max Scherzer called out on strikes.  ","R","R","R","NYM","WSH","S",2,"null",1,2,2017,"-1.3978","0.6696","0.4475","2.1559","null","null","446653.00",0,5,"Top","null","null",,,518595,,"170924_182740","6.3631","-124.7886","-2.3025","-16.2887","24.6425","-24.6885","3.2891","1.6413","null","null","null","87.1720","1660","7.1370",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.3629","null","null","0.00",1,0,0,"null",32,"5","Changeup",1,3,3,1,3,1,3,1,"Strategic","Strategic"
"FF","2017-09-24","94.1","-0.8506","5.3383","Jacob deGrom","null",594798,"null","ball",,,,,"14","null","R","R","R","NYM","WSH","B","null","null",0,2,2017,"-0.8714","1.5361","1.2688","1.7455","null","null","446653.00",0,5,"Top","null","null",,,518595,,"170924_182715","7.5426","-136.6001","-7.1323","-12.8072","29.9940","-11.1323","3.3113","1.6729","null","null","null","95.0740","2339","6.9710",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.5285","null","null","null","null","null","null","null",32,"4","4-Seam Fastball",1,3,3,1,3,1,3,1,"Strategic","Strategic"
"SL","2017-09-24","88.8","-1.0321","5.3044","Jacob deGrom","null",594798,"null","foul",,,,,"1","null","R","R","R","NYM","WSH","S","null","null",0,2,2017,"0.1175","0.3932","-0.4540","2.9988","null","null","446653.00",0,5,"Top","null","null",,,518595,,"170924_182652","1.1781","-129.2471","-0.4241","1.0824","27.7282","-27.8107","3.3322","1.4237","10","36.4","-13.3437","89.5700","2413","6.8100",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.6897","null","null","null","null","null","null","null",32,"3","Slider",1,3,3,1,3,1,3,1,"Strategic","Strategic"
"FT","2017-09-24","93.9","-0.9155","5.2122","Jacob deGrom","null",594798,"null","swinging_strike",,,,,"2","null","R","R","R","NYM","WSH","S","null","null",0,1,2017,"-0.8466","1.1249","0.2055","3.3883","null","null","446653.00",0,5,"Top","null","null",,,518595,,"170924_182630","4.9130","-136.6436","-1.6108","-12.0106","28.9791","-17.4206","3.3322","1.4237","null","null","null","95.6930","2355","7.2290",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.2708","null","null","null","null","null","null","null",32,"2","2-Seam Fastball",1,3,3,1,3,1,3,1,"Strategic","Strategic"
"FF","2017-09-24","93.3","-0.8736","5.3017","Jacob deGrom","null",594798,"null","foul_bunt",,,,,"12","null","R","R","R","NYM","WSH","S","null","null",0,0,2017,"-0.4378","1.6232","0.0930","4.0093","null","null","446653.00",0,5,"Top","null","null",,,518595,,"170924_182605","3.5631","-135.7671","-1.2386","-6.4466","33.0913","-11.3669","3.3322","1.4237","null","null","null","94.8740","2348","7.4530",492433,594798,518595,642086,408314,595943,642708,607043,501571,493114,"53.0466","null","null","null","null","null","null","null",32,"1","4-Seam Fastball",1,3,3,1,3,1,3,1,"Strategic","Strategic"
