pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,game_pitch_num,season_year,season_type,runner_on,scoring_position
SL,2015-10-09,91.3,-1.1722,5.6133,Jacob deGrom,457759,594798,NA,ball,NA,NA,NA,NA,14,NA,D,R,R,LAD,NYM,B,NA,NA,0,0,2015,-0.26916666666666667,0.2473,0.898,1.25,NA,NA,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192300,4.983,-132.88,-5.069,-1.793,28.714,-31.515,3.71,1.67,NA,NA,NA,91.502,2461,6.584,446244,446263,502517,431151,514913,150212,493316,434158,53.9137,NA,NA,NA,NA,NA,NA,NA,13,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,21,2015,Postseason,0,0
SL,2015-10-09,90.7,-1.2701,5.7279,Jacob deGrom,457759,594798,NA,foul,NA,NA,NA,NA,5,NA,D,R,R,LAD,NYM,S,NA,NA,1,0,2015,0.13024166666666667,0.18853333333333333,0.186,2.624,NA,NA,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192313,2.266,-132.18,-1.505,3.362,24.501,-32.246,3.63,1.64,NA,NA,NA,91.567,947,6.583,446244,446263,502517,431151,514913,150212,493316,434158,53.9148,NA,NA,NA,NA,NA,NA,NA,13,2,Slider,0,0,0,0,0,0,0,0,Standard,Standard,22,2015,Postseason,0,0
CU,2015-10-09,83.3,-1.0408,5.8556,Jacob deGrom,457759,594798,NA,ball,NA,NA,NA,NA,14,NA,D,R,R,LAD,NYM,B,NA,NA,1,1,2015,0.23183333333333334,-0.8248333333333333,0.626,1.04,NA,NA,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192340,2.431,-121.254,-1.886,3.873,23.437,-42.763,3.45,1.61,NA,NA,NA,83.273,2653,6.333,446244,446263,502517,431151,514913,150212,493316,434158,54.1652,NA,NA,NA,NA,NA,NA,NA,13,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,23,2015,Postseason,0,0
SL,2015-10-09,90.8,-1.2845,5.5748,Jacob deGrom,457759,594798,NA,ball,NA,NA,NA,NA,14,NA,D,R,R,LAD,NYM,B,NA,NA,2,1,2015,0.0704,0.2172,1.266,0.754,NA,NA,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192400,5.106,-132.117,-6.065,2.574,25.228,-31.884,3.52,1.54,NA,NA,NA,91.342,2650,6.549,446244,446263,502517,431151,514913,150212,493316,434158,53.9485,NA,NA,NA,NA,NA,NA,NA,13,4,Slider,0,0,0,0,0,0,0,0,Standard,Standard,24,2015,Postseason,0,0
FF,2015-10-09,97.3,-1.2205,5.5803,Jacob deGrom,457759,594798,NA,called_strike,NA,NA,NA,NA,9,NA,D,R,R,LAD,NYM,S,NA,NA,3,1,2015,-0.977525,1.2649666666666666,0.278,1.449,NA,NA,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192419,5.538,-141.311,-7.69,-12.216,34.542,-17.199,3.54,1.5,NA,NA,NA,97.611,2461,6.921,446244,446263,502517,431151,514913,150212,493316,434158,53.5773,NA,NA,NA,NA,NA,NA,NA,13,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,25,2015,Postseason,0,0
FF,2015-10-09,96.7,-1.1338,5.8352,Jacob deGrom,457759,594798,double,hit_into_play_no_out,NA,NA,NA,NA,1,Justin Turner doubles (1) on a line drive to left fielder Michael Cuddyer.,D,R,R,LAD,NYM,X,NA,line_drive,3,2,2015,-0.6129083333333334,1.5301333333333333,-0.297,3.103,NA,NA,NA,0,2,Bot,71.99,50.7,NA,NA,518595,NA,151009_192449,2.656,-140.664,-4.527,-6.902,33.715,-13.626,3.63,1.64,344,104.4,15.586,96.932,2444,6.708,446244,446263,502517,431151,514913,150212,493316,434158,53.7899,0.581,0.675,1.25,1,1,1,5,13,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,26,2015,Postseason,0,0
FF,2015-10-09,98.1,-1.1558,5.7615,Jacob deGrom,444843,594798,NA,foul,NA,NA,NA,NA,1,NA,D,L,R,LAD,NYM,S,NA,NA,0,0,2015,-0.8341833333333334,1.1689333333333334,-0.352,3.217,NA,457759,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192549,3.243,-142.803,-3.339,-10.463,32.712,-18.123,3.64,1.65,NA,NA,NA,98.904,2435,6.838,446244,446263,502517,431151,514913,150212,493316,434158,53.6594,NA,NA,NA,NA,NA,NA,NA,14,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,27,2015,Postseason,1,1
FF,2015-10-09,97.7,-1.0361,5.5128,Jacob deGrom,444843,594798,NA,foul,NA,NA,NA,NA,5,NA,D,L,R,LAD,NYM,S,NA,NA,0,1,2015,-0.965,1.318,0.174,2.945,NA,457759,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192617,4.697,-142.146,-4.351,-12.336,31.154,-16.075,3.64,1.65,NA,NA,NA,98.796,2406,6.957,446244,446263,502517,431151,514913,150212,493316,434158,53.5408,NA,NA,NA,NA,NA,NA,NA,14,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,28,2015,Postseason,1,1
CU,2015-10-09,84,-1.2318,5.8468,Jacob deGrom,444843,594798,NA,blocked_ball,NA,NA,NA,NA,14,NA,D,L,R,LAD,NYM,B,NA,NA,0,2,2015,0.5741833333333334,-0.2687,0.074,0.927,NA,457759,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192647,0.807,-122.275,-3.622,7.681,23.495,-37.06,3.49,1.57,NA,NA,NA,83.828,2622,6.238,446244,446263,502517,431151,514913,150212,493316,434158,54.2601,NA,NA,NA,NA,NA,NA,NA,14,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,29,2015,Postseason,1,1
FF,2015-10-09,98.6,-1.1414,5.6044,Jacob deGrom,444843,594798,NA,ball,NA,NA,NA,NA,13,NA,D,L,R,LAD,NYM,B,NA,NA,1,2,2015,-0.5628083333333334,1.4212,-1.186,2.339,NA,457759,NA,0,2,Bot,NA,NA,NA,NA,518595,NA,151009_192718,0.101,-143.437,-6.322,-6.473,33.222,-14.362,3.55,1.64,NA,NA,NA,99.27,2484,6.845,446244,446263,502517,431151,514913,150212,493316,434158,53.6528,NA,NA,NA,NA,NA,NA,NA,14,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,30,2015,Postseason,1,1
